# step cpu_mb gpu_mb
1170 1314.61 0.00
1171 1314.61 0.00
1172 1314.61 0.00
1173 1314.61 0.00
1174 1314.61 0.00
1175 1314.61 0.00
1176 1314.61 0.00
1177 1314.61 0.00
1178 1314.61 0.00
1179 1314.61 0.00
1180 1314.61 0.00
1181 1314.61 0.00
1182 1314.61 0.00
1183 1314.61 0.00
1184 1314.61 0.00
1185 1314.61 0.00
1186 1314.61 0.00
1187 1314.61 0.00
1188 1314.61 0.00
1189 1314.61 0.00
1190 1314.61 0.00
1191 1314.61 0.00
1192 1314.61 0.00
1193 1314.61 0.00
1194 1314.61 0.00
1195 1314.61 0.00
1196 1314.61 0.00
1197 1314.61 0.00
1198 1314.61 0.00
1199 1314.61 0.00
1200 1314.61 0.00
1201 1314.61 0.00
1202 1314.61 0.00
1203 1314.61 0.00
1204 1314.61 0.00
1205 1314.61 0.00
1206 1314.61 0.00
1207 1314.61 0.00
1208 1314.61 0.00
1209 1314.61 0.00
1210 1314.61 0.00
1211 1314.61 0.00
1212 1314.61 0.00
1213 1314.61 0.00
1214 1314.61 0.00
1215 1314.61 0.00
1216 1314.61 0.00
1217 1314.61 0.00
1218 1314.61 0.00
1219 1314.61 0.00
1220 1314.61 0.00
1221 1314.61 0.00
1222 1314.61 0.00
1223 1314.61 0.00
1224 1314.61 0.00
1225 1314.61 0.00
1226 1314.61 0.00
1227 1314.61 0.00
1228 1314.61 0.00
1229 1314.61 0.00
1230 1314.61 0.00
1231 1314.61 0.00
1232 1314.61 0.00
1233 1314.61 0.00
1234 1314.61 0.00
1235 1314.61 0.00
1236 1314.61 0.00
1237 1314.61 0.00
1238 1314.61 0.00
1239 1314.61 0.00
1240 1314.61 0.00
